"state","district","headquarters","population","area_sqkm","density","code","alt_name"
"Andhra Pradesh","Anantapur","Anantapur",4083315,19130,213,"AP01","Anantapur"
"Andhra Pradesh","Chittoor","Chittoor",4170468,15152,275,"AP02","Chittoor"
"Andhra Pradesh","East Godavari","Kakinada",5151549,10807,477,"AP03","East Godavari"
"Andhra Pradesh","Guntur","Guntur",4889230,11391,429,"AP04","Guntur"
"Andhra Pradesh","YSR","Kadapa",2884524,15359,188,"AP13","YSR"
"Andhra Pradesh","Krishna","Machilipatnam",4529009,8727,519,"AP05","Krishna"
"Andhra Pradesh","Kurnool","Kurnool",4046601,17658,229,"AP06","Kurnool"
"Andhra Pradesh","Prakasam","Ongole",3392764,17626,192,"AP07","Prakasam"
"Andhra Pradesh","Sri Potti Sriramulu Nellore","Nellore",2966082,13076,227,"AP08","Spsr Nellore"
"Andhra Pradesh","Srikakulam","Srikakulam",2699471,5837,462,"AP09","Srikakulam"
"Andhra Pradesh","Visakhapatnam","Visakhapatnam",4288113,11161,384,"AP10","Visakhapatnam"
"Andhra Pradesh","Vizianagaram","Vizianagaram",2342868,6539,358,"AP11","Vizianagaram"
"Andhra Pradesh","West Godavari","Eluru",3934782,7742,490,"AP12","West Godavari"
"Arunachal Pradesh","Anjaw","Hawai",21089,6190,3,"AR01","Anjaw"
"Arunachal Pradesh","Changlang","Changlang",147951,4662,32,"AR02","Changlang"
"Arunachal Pradesh","East Kameng","Seppa",78413,4134,19,"AR03","East Kameng"
"Arunachal Pradesh","East Siang","Pasighat",99019,3603,27,"AR04","East Siang"
"Arunachal Pradesh","Kamle","Raga",22256,200,111,"AR05","Kamle"
"Arunachal Pradesh","Kra Daadi","Jamin",0,0,0,"AR06","Kra Daadi"
"Arunachal Pradesh","Kurung Kumey","Koloriang",89717,6040,15,"AR07","Kurung Kumey"
"Arunachal Pradesh","Lepa Rada","Basar",0,0,0,"AR08","Lepa Rada"
"Arunachal Pradesh","Lohit","Tezu",145538,2402,61,"AR09","Lohit"
"Arunachal Pradesh","Longding","Longding",60000,1200,50,"AR10","Longding"
"Arunachal Pradesh","Lower Dibang Valley","Roing",53986,3900,14,"AR11","Lower Dibang Valley"
"Arunachal Pradesh","Lower Siang","Likabali",0,0,0,"AR12","Lower Siang"
"Arunachal Pradesh","Lower Subansiri","Ziro",82839,3508,24,"AR13","Lower Subansiri"
"Arunachal Pradesh","Namsai","Namsai",95950,1587,60,"AR14","Namsai"
"Arunachal Pradesh","Pakke-Kessang","Lemmi",0,0,0,"AR15","Pakke Kessang"
"Arunachal Pradesh","Papum Pare","Yupia",176385,2875,61,"AR16","Papum Pare"
"Arunachal Pradesh","Shi Yomi","Tato",13310,2875,5,"AR17","Shi Yomi"
"Arunachal Pradesh","Siang","Pangin",31920,2919,11,"AR18","Siang"
"Arunachal Pradesh","Tawang","Tawang",49950,2085,24,"AR19","Tawang"
"Arunachal Pradesh","Tirap","Khonsa",111997,2362,47,"AR20","Tirap"
"Arunachal Pradesh","Upper Dibang Valley","Anini",7948,9129,1,"AR21","Dibang Valley"
"Arunachal Pradesh","Upper Siang","Yingkiong",35289,6188,6,"AR22","Upper Siang"
"Arunachal Pradesh","Upper Subansiri","Daporijo",83205,7032,12,"AR23","Upper Subansiri"
"Arunachal Pradesh","West Kameng","Bomdila",87013,7422,12,"AR24","West Kameng"
"Arunachal Pradesh","West Siang","Along",112272,8325,13,"AR25","West Siang"
"Assam","Baksa","Mushalpur",953773,2008,475,"AS02","Baksa"
"Assam","Bajali","Pathsala",253816,0,0,"AS01","Bajali"
"Assam","Barpeta","Barpeta",1693622,3245,520,"AS03","Barpeta"
"Assam","Bishwanath","Biswanath Chariali",612491,1100,560,"AS04","Biswanath"
"Assam","Bongaigaon","Bongaigaon",732639,1724,425,"AS05","Bongaigaon"
"Assam","Cachar","Silchar",1736319,3786,459,"AS06","Cachar"
"Assam","Charaideo","Sonari",471418,1069,440,"AS07","Charaideo"
"Assam","Chirang","Kajalgaon",481818,1975,244,"AS08","Chirang"
"Assam","Darrang","Mangaldoi",908090,1849,491,"AS09","Darrang"
"Assam","Dhemaji","Dhemaji",688077,3237,213,"AS10","Dhemaji"
"Assam","Dhubri","Dhubri",1948632,2838,687,"AS11","Dhubri"
"Assam","Dibrugarh","Dibrugarh",1327748,3381,393,"AS12","Dibrugarh"
"Assam","Dima Hasao","Haflong",213529,4888,44,"AS13","Dima Hasao"
"Assam","Goalpara","Goalpara",1008959,1824,553,"AS14","Goalpara"
