"state","year","quarter","district","code","transactions","amount_inr","atv_inr","reg_users","app_opens"
"Andaman & Nicobar Islands",2018,1,"Nicobars","AN01",528,1139848.80122599,2158.8045477765,262,0
"Andaman & Nicobar Islands",2018,1,"North And Middle Andaman","AN02",442,931663.077093987,2107.83501604974,632,0
"Andaman & Nicobar Islands",2018,1,"South Andaman","AN03",5688,12560249.3436658,2208.20136140397,5846,0
"Andaman & Nicobar Islands",2018,2,"Nicobars","AN01",1120,3072436.90811963,2743.24723939253,351,0
"Andaman & Nicobar Islands",2018,2,"North And Middle Andaman","AN02",825,1317863.08349065,1597.40979817048,911,0
"Andaman & Nicobar Islands",2018,2,"South Andaman","AN03",9395,23948235.5163432,2549.04050200566,8143,0
"Andaman & Nicobar Islands",2018,3,"Nicobars","AN01",1471,6387829.15155898,4342.50792084227,467,0
"Andaman & Nicobar Islands",2018,3,"North And Middle Andaman","AN02",1283,4901529.51849967,3820.36595362406,1208,0
"Andaman & Nicobar Islands",2018,3,"South Andaman","AN03",13511,44268112.4642524,3276.44974200669,10474,0
"Andaman & Nicobar Islands",2018,4,"Nicobars","AN01",1485,7180859.35491178,4835.59552519312,536,0
"Andaman & Nicobar Islands",2018,4,"North And Middle Andaman","AN02",2137,7955635.917688,3722.80576400936,1553,0
"Andaman & Nicobar Islands",2018,4,"South Andaman","AN03",20136,75411840.8018554,3745.12518880887,13133,0
"Andaman & Nicobar Islands",2019,1,"Nicobars","AN01",1539,7236059.54938959,4701.7930795254,622,0
"Andaman & Nicobar Islands",2019,1,"North And Middle Andaman","AN02",3264,9561708.73629834,2929.44507852278,2013,0
"Andaman & Nicobar Islands",2019,1,"South Andaman","AN03",25683,85501972.3878019,3329.12714199283,15961,0
"Andaman & Nicobar Islands",2019,2,"Nicobars","AN01",1828,9111650.82436246,4984.49169822892,693,2953
"Andaman & Nicobar Islands",2019,2,"North And Middle Andaman","AN02",3371,8612103.13788812,2554.76212930529,2417,6118
"Andaman & Nicobar Islands",2019,2,"South Andaman","AN03",28490,102530955.713412,3598.84014438091,18621,43569
"Andaman & Nicobar Islands",2019,3,"Nicobars","AN01",2300,11566421.475451,5028.87890237,751,10853
"Andaman & Nicobar Islands",2019,3,"North And Middle Andaman","AN02",4049,11481466.2833567,2835.63010208859,2662,22064
"Andaman & Nicobar Islands",2019,3,"South Andaman","AN03",27421,91023888.3284861,3319.49558106875,20518,138190
"Andaman & Nicobar Islands",2019,4,"Nicobars","AN01",2600,12384161.5266877,4763.13904872604,803,11113
"Andaman & Nicobar Islands",2019,4,"North And Middle Andaman","AN02",4716,13524056.7845739,2867.69651920566,2955,26253
"Andaman & Nicobar Islands",2019,4,"South Andaman","AN03",27843,110930312.206116,3984.13648694882,22202,139646
"Andaman & Nicobar Islands",2020,1,"Nicobars","AN01",2911,12099543.77359,4156.49047529715,879,11613
"Andaman & Nicobar Islands",2020,1,"North And Middle Andaman","AN02",5674,14697371.6178571,2590.30165982677,3315,30444
"Andaman & Nicobar Islands",2020,1,"South Andaman","AN03",32713,134679396.905827,4116.99926346795,24174,151529
