"state","year","quarter","txn_type","transactions","amount_inr","atv_inr","period"
"Andaman & Nicobar Islands",2018,1,"Recharge & bill payments",4200,1845307.4673655,439.35892080131,"2018 Q1"
"Andaman & Nicobar Islands",2018,1,"Peer-to-peer payments",1871,12138655.2997499,6487.79011210577,"2018 Q1"
"Andaman & Nicobar Islands",2018,1,"Merchant payments",298,452507.168646613,1518.48043170004,"2018 Q1"
"Andaman & Nicobar Islands",2018,1,"Financial Services",33,10601.4199334649,321.255149498936,"2018 Q1"
"Andaman & Nicobar Islands",2018,1,"Others",256,184689.866290222,721.44479019618,"2018 Q1"
"Andaman & Nicobar Islands",2018,2,"Recharge & bill payments",6735,2320944.73107447,344.609462668815,"2018 Q2"
"Andaman & Nicobar Islands",2018,2,"Peer-to-peer payments",3575,24511925.2310476,6856.48258211122,"2018 Q2"
"Andaman & Nicobar Islands",2018,2,"Merchant payments",603,1024491.0133579,1698.99007190365,"2018 Q2"
"Andaman & Nicobar Islands",2018,2,"Financial Services",59,121336.02709875,2056.5428321822,"2018 Q2"
"Andaman & Nicobar Islands",2018,2,"Others",368,359838.505374745,977.822025474851,"2018 Q2"
"Andaman & Nicobar Islands",2018,3,"Recharge & bill payments",8636,4343504.86837782,502.953319636153,"2018 Q3"
"Andaman & Nicobar Islands",2018,3,"Peer-to-peer payments",6448,49270781.541635,7641.25023908731,"2018 Q3"
"Andaman & Nicobar Islands",2018,3,"Merchant payments",945,1627359.8394868,1722.07390421884,"2018 Q3"
"Andaman & Nicobar Islands",2018,3,"Financial Services",42,1481.49070428064,35.2735881971581,"2018 Q3"
"Andaman & Nicobar Islands",2018,3,"Others",194,314343.394107153,1620.32677374821,"2018 Q3"
"Andaman & Nicobar Islands",2018,4,"Recharge & bill payments",11517,5450549.51229437,473.26122360809,"2018 Q4"
"Andaman & Nicobar Islands",2018,4,"Peer-to-peer payments",10451,81001456.9782517,7750.59391237697,"2018 Q4"
"Andaman & Nicobar Islands",2018,4,"Merchant payments",1421,3552027.73549265,2499.66765340792,"2018 Q4"
"Andaman & Nicobar Islands",2018,4,"Financial Services",29,76035.7877393286,2621.92371514926,"2018 Q4"
"Andaman & Nicobar Islands",2018,4,"Others",340,468266.060677043,1377.25311963836,"2018 Q4"
"Andaman & Nicobar Islands",2019,1,"Recharge & bill payments",15263,6611459.87297258,433.169093426756,"2019 Q1"
"Andaman & Nicobar Islands",2019,1,"Peer-to-peer payments",13119,91808345.8683955,6998.12073087854,"2019 Q1"
"Andaman & Nicobar Islands",2019,1,"Merchant payments",1759,3266589.84696143,1857.07211311053,"2019 Q1"
"Andaman & Nicobar Islands",2019,1,"Financial Services",62,116250.43671861,1875.00704384855,"2019 Q1"
"Andaman & Nicobar Islands",2019,1,"Others",283,497094.64844172,1756.51819237357,"2019 Q1"
"Andaman & Nicobar Islands",2019,2,"Recharge & bill payments",14676,7242448.25621233,493.489251581652,"2019 Q2"
"Andaman & Nicobar Islands",2019,2,"Peer-to-peer payments",14481,107525358.666528,7425.27164329314,"2019 Q2"
"Andaman & Nicobar Islands",2019,2,"Merchant payments",4031,4702152.61661937,1166.49779623403,"2019 Q2"
"Andaman & Nicobar Islands",2019,2,"Financial Services",124,113278.91371326,913.539626719839,"2019 Q2"
"Andaman & Nicobar Islands",2019,2,"Others",377,671471.222589792,1781.09077610024,"2019 Q2"
"Andaman & Nicobar Islands",2019,3,"Recharge & bill payments",16219,8171737.70591668,503.837333122676,"2019 Q3"
"Andaman & Nicobar Islands",2019,3,"Peer-to-peer payments",13767,101079821.103446,7342.18210964233,"2019 Q3"
"Andaman & Nicobar Islands",2019,3,"Merchant payments",3519,4428734.57484668,1258.520765799,"2019 Q3"
"Andaman & Nicobar Islands",2019,3,"Financial Services",50,158857.943155868,3177.15886311736,"2019 Q3"
"Andaman & Nicobar Islands",2019,3,"Others",215,232624.759928535,1081.97562757458,"2019 Q3"
"Andaman & Nicobar Islands",2019,4,"Peer-to-peer payments",18128,121493224.307545,6701.96515377013,"2019 Q4"
"Andaman & Nicobar Islands",2019,4,"Recharge & bill payments",13851,9538690.91642463,688.664422527228,"2019 Q4"
"Andaman & Nicobar Islands",2019,4,"Merchant payments",2920,5247500.48790237,1797.08920818574,"2019 Q4"
"Andaman & Nicobar Islands",2019,4,"Financial Services",60,295937.211089886,4932.2868514981,"2019 Q4"
"Andaman & Nicobar Islands",2019,4,"Others",200,263177.594415888,1315.88797207944,"2019 Q4"
"Andaman & Nicobar Islands",2020,1,"Peer-to-peer payments",18324,142332401.792347,7767.5399362774,"2020 Q1"
"Andaman & Nicobar Islands",2020,1,"Recharge & bill payments",18268,10850414.0239774,593.957413180283,"2020 Q1"
"Andaman & Nicobar Islands",2020,1,"Merchant payments",4424,7752871.5582177,1752.45740466042,"2020 Q1"
"Andaman & Nicobar Islands",2020,1,"Financial Services",66,208231.730716526,3155.02622297767,"2020 Q1"
"Andaman & Nicobar Islands",2020,1,"Others",216,332393.192015216,1538.85737044081,"2020 Q1"
"Andaman & Nicobar Islands",2020,2,"Recharge & bill payments",38125,17659622.7341882,463.203219257395,"2020 Q2"
"Andaman & Nicobar Islands",2020,2,"Peer-to-peer payments",20303,141728757.735174,6980.68057603182,"2020 Q2"
"Andaman & Nicobar Islands",2020,2,"Merchant payments",4004,9236375.74047134,2306.78714796987,"2020 Q2"
